Rsum^2,Rsum^3,Rsum^4,Rsum^5,Rsum^6,Rsum^7,Rsum^8,Rsum^9,Rsum^10,Lamps^2,Lamps^3,Lamps^4,Lamps^5,Lamps^6,Lamps^7,Lamps^8,Lamps^9,Lamps^10,T_inside^2,T_inside^3,T_inside^4,T_inside^5,T_inside^6,T_inside^7,T_inside^8,T_inside^9,T_inside^10,CO2^2,CO2^3,CO2^4,CO2^5,CO2^6,CO2^7,CO2^8,CO2^9,CO2^10,T_Max^2,T_Max^3,T_Max^4,T_Max^5,T_Max^6,T_Max^7,T_Max^8,T_Max^9,T_Max^10,T_Avg^2,T_Avg^3,T_Avg^4,T_Avg^5,T_Avg^6,T_Avg^7,T_Avg^8,T_Avg^9,T_Avg^10,T_Min^2,T_Min^3,T_Min^4,T_Min^5,T_Min^6,T_Min^7,T_Min^8,T_Min^9,T_Min^10,DP_Max^2,DP_Max^3,DP_Max^4,DP_Max^5,DP_Max^6,DP_Max^7,DP_Max^8,DP_Max^9,DP_Max^10,DP_Avg^2,DP_Avg^3,DP_Avg^4,DP_Avg^5,DP_Avg^6,DP_Avg^7,DP_Avg^8,DP_Avg^9,DP_Avg^10,DP_Min^2,DP_Min^3,DP_Min^4,DP_Min^5,DP_Min^6,DP_Min^7,DP_Min^8,DP_Min^9,DP_Min^10,H_Max^2,H_Max^3,H_Max^4,H_Max^5,H_Max^6,H_Max^7,H_Max^8,H_Max^9,H_Max^10,H_Avg^2,H_Avg^3,H_Avg^4,H_Avg^5,H_Avg^6,H_Avg^7,H_Avg^8,H_Avg^9,H_Avg^10,H_Min^2,H_Min^3,H_Min^4,H_Min^5,H_Min^6,H_Min^7,H_Min^8,H_Min^9,H_Min^10,P_Max^2,P_Max^3,P_Max^4,P_Max^5,P_Max^6,P_Max^7,P_Max^8,P_Max^9,P_Max^10,P_Avg^2,P_Avg^3,P_Avg^4,P_Avg^5,P_Avg^6,P_Avg^7,P_Avg^8,P_Avg^9,P_Avg^10,P_Min^2,P_Min^3,P_Min^4,P_Min^5,P_Min^6,P_Min^7,P_Min^8,P_Min^9,P_Min^10
6584356.0,16895457496.0,43353743934736.0,1.1124570693653258e+17,2.8545648399914258e+20,7.324813379417998e+23,1.8795471131586582e+27,4.8229178923651167e+30,1.237560731180889e+34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.3599999999999,14526.783999999996,354453.5295999999,8648666.122239998,211027453.38265592,5149069862.536804,125637304645.89801,3065550233359.911,74799425693981.83,328329.0,188132517.0,107799932241.0,61769361174093.0,3.539384395275529e+16,2.028067258492878e+19,1.162082539116419e+22,6.658732949137081e+24,3.815453979855547e+27,835.2099999999999,24137.568999999996,697575.7440999999,20159939.004489996,582622237.2297609,16837782655.940088,486611918756.6685,14063084452067.719,406423140664757.06,515.29,11697.082999999999,265523.7841,6027389.899069999,136821750.70888898,3105853741.0917797,70502879922.7834,1600415374247.183,36329428995411.055,193.21,2685.619,37330.104100000004,518888.4469900001,7212549.413161001,100254436.84293792,1393536672.116837,19370159742.424034,269245220419.6941,295.84,5088.447999999999,87521.30559999999,1505366.4563199999,25892303.048704,445347612.43770874,7659978933.92859,131751637663.57175,2266128167813.434,216.08999999999997,3176.5229999999997,46694.8881,686414.8550699999,10090298.369528998,148327386.03207627,2180412574.671521,32052064847.67136,471165353260.769,163.84000000000003,2097.1520000000005,26843.54560000001,343597.38368000014,4398046.511104002,56294995.34213123,720575940.3792797,9223372036.85478,118059162071.7412,8836.0,830584.0,78074896.0,7339040224.0,689869781056.0,64847759419264.0,6095689385410816.0,5.729948022286167e+17,5.386151140948997e+19,4134.49,265847.707,17094007.5601,1099144686.11443,70675003317.15784,4544402713293.249,292205094464755.9,1.87887875740838e+16,1.2081190410135882e+18,1369.0,50653.0,1874161.0,69343957.0,2565726409.0,94931877133.0,3512479453921.0,129961739795077.0,4808584372417849.0,882.0899999999999,26198.072999999997,778082.7680999999,23109058.212569997,686339028.9133289,20384269158.72587,605412794014.1583,17980759982220.5,534028571471948.8,876.1600000000001,25934.336000000003,767656.3456000001,22722627.829760004,672589783.7608961,19908657599.322525,589296264939.9468,17443169442222.426,516317815489783.8,876.1600000000001,25934.336000000003,767656.3456000001,22722627.829760004,672589783.7608961,19908657599.322525,589296264939.9468,17443169442222.426,516317815489783.8
4761124.0,10388772568.0,22668301743376.0,4.946223440404643e+16,1.0792659546962931e+20,2.3549583131473115e+23,5.1385190392874336e+26,1.121224854372518e+30,2.4465126322408343e+33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,19683.0,531441.0,14348907.0,387420489.0,10460353203.0,282429536481.0,7625597484987.0,205891132094649.0,422500.0,274625000.0,178506250000.0,116029062500000.0,7.5418890625e+16,4.902227890625e+19,3.18644812890625e+22,2.0711912837890626e+25,1.3462743344628907e+28,1149.2099999999998,38958.21899999999,1320683.6240999997,44771174.85698999,1517742827.6519606,51451481857.40147,1744205234965.9097,59128557465344.336,2004458098075173.0,645.16,16387.064,416231.42559999996,10572278.210239999,268535866.540096,6820811010.118438,173248599657.0083,4400514431288.011,111773066554715.47,295.84,5088.447999999999,87521.30559999999,1505366.4563199999,25892303.048704,445347612.43770874,7659978933.92859,131751637663.57175,2266128167813.434,445.21000000000004,9393.931,198211.94410000002,4182272.0205100006,88245939.63276102,1861989326.2512577,39287974783.90154,828976267940.3226,17491399253540.809,299.29,5177.717000000001,89574.50410000002,1549638.9209300005,26808753.33208901,463791432.64513993,8023591784.7609215,138808137876.36395,2401380785261.0967,193.21,2685.619,37330.104100000004,518888.4469900001,7212549.413161001,100254436.84293792,1393536672.116837,19370159742.424034,269245220419.6941,8836.0,830584.0,78074896.0,7339040224.0,689869781056.0,64847759419264.0,6095689385410816.0,5.729948022286167e+17,5.386151140948997e+19,4225.0,274625.0,17850625.0,1160290625.0,75418890625.0,4902227890625.0,318644812890625.0,2.0711912837890624e+16,1.3462743344628905e+18,961.0,29791.0,923521.0,28629151.0,887503681.0,27512614111.0,852891037441.0,26439622160671.0,819628286980801.0,888.0400000000001,26463.592000000004,788615.0416000001,23500728.239680003,700321701.5424641,20869586705.96543,621913683837.7699,18533027778365.543,552284227795293.2,882.0899999999999,26198.072999999997,778082.7680999999,23109058.212569997,686339028.9133289,20384269158.72587,605412794014.1583,17980759982220.5,534028571471948.8,882.0899999999999,26198.072999999997,778082.7680999999,23109058.212569997,686339028.9133289,20384269158.72587,605412794014.1583,17980759982220.5,534028571471948.8
5712100.0,13651919000.0,32628086410000.0,7.79811265199e+16,1.86374892382561e+20,4.4543599279432084e+23,1.0645920227784268e+27,2.5443749344404403e+30,6.081056093312653e+33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.7600000000001,21024.576000000005,580278.2976000002,16015681.013760006,442032795.9797762,12200105169.041824,336722902665.5544,9293552113569.3,256502038334512.72,511225.0,365525875.0,261351000625.0,186865965446875.0,1.3360916529451563e+17,9.553055318557868e+19,6.830434552768875e+22,4.883760705229746e+25,3.491888904239268e+28,1149.2099999999998,38958.21899999999,1320683.6240999997,44771174.85698999,1517742827.6519606,51451481857.40147,1744205234965.9097,59128557465344.336,2004458098075173.0,723.6099999999999,19465.108999999997,523611.43209999986,14085147.523489995,378890468.3818808,10192153599.472593,274168931825.81274,7375144266114.362,198391380758476.34,357.2099999999999,6751.268999999998,127598.98409999996,2411620.799489999,45579633.11036098,861455065.7858225,16281500743.352045,307720364049.35364,5815914880532.783,400.0,8000.0,160000.0,3200000.0,64000000.0,1280000000.0,25600000000.0,512000000000.0,10240000000000.0,331.23999999999995,6028.567999999999,109719.93759999999,1996902.8643199997,36343632.130623996,661454104.7773567,12038464706.947893,219100057666.45166,3987621049529.42,225.0,3375.0,50625.0,759375.0,11390625.0,170859375.0,2562890625.0,38443359375.0,576650390625.0,10000.0,1000000.0,100000000.0,10000000000.0,1000000000000.0,100000000000000.0,1e+16,1e+18,1e+20,4006.8899999999994,253636.13699999996,16055167.472099997,1016292100.9839298,64331289992.28275,4072170656511.498,257768402557177.8,1.6316739881869354e+16,1.0328496345223301e+18,1156.0,39304.0,1336336.0,45435424.0,1544804416.0,52523350144.0,1785793904896.0,60716992766464.0,2064377754059776.0,882.0899999999999,26198.072999999997,778082.7680999999,23109058.212569997,686339028.9133289,20384269158.72587,605412794014.1583,17980759982220.5,534028571471948.8,882.0899999999999,26198.072999999997,778082.7680999999,23109058.212569997,686339028.9133289,20384269158.72587,605412794014.1583,17980759982220.5,534028571471948.8,876.1600000000001,25934.336000000003,767656.3456000001,22722627.829760004,672589783.7608961,19908657599.322525,589296264939.9468,17443169442222.426,516317815489783.8
5013121.0,11224377919.0,25131382160641.0,5.62691646576752e+16,1.2598665966853477e+20,2.8208413099784935e+23,6.315863693041847e+26,1.4141218808720696e+30,3.166218891272564e+33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.4100000000001,19902.511000000002,539358.0481000001,14616603.103510004,396109944.10512114,10734579485.248783,290907104050.24207,7883582519761.561,213645086285538.3,354025.0,210644875.0,125333700625.0,74573551871875.0,4.4371263363765624e+16,2.6400901701440545e+19,1.5708536512357123e+22,9.346579224852488e+24,5.56121463878723e+27,1036.8400000000001,33386.24800000001,1075037.1856000002,34616197.37632001,1114641555.5175045,35891458087.66364,1155704950422.7693,37213699403613.17,1198281120796344.2,702.25,18609.625,493155.0625,13068609.15625,346318142.640625,9177430779.976562,243201915669.3789,6444850765238.541,170788545278821.34,400.0,8000.0,160000.0,3200000.0,64000000.0,1280000000.0,25600000000.0,512000000000.0,10240000000000.0,445.21000000000004,9393.931,198211.94410000002,4182272.0205100006,88245939.63276102,1861989326.2512577,39287974783.90154,828976267940.3226,17491399253540.809,349.69,6539.2029999999995,122283.09609999998,2286693.8970699995,42761175.87520899,799633988.8664081,14953155591.80183,279624009566.6942,5228968978897.182,295.84,5088.447999999999,87521.30559999999,1505366.4563199999,25892303.048704,445347612.43770874,7659978933.92859,131751637663.57175,2266128167813.434,7744.0,681472.0,59969536.0,5277319168.0,464404086784.0,40867559636992.0,3596345248055296.0,3.1647838182886605e+17,2.7850097600940212e+19,4160.25,268336.125,17307680.0625,1116345364.03125,72004275980.01562,4644275800711.008,299555789145860.0,1.932134839990797e+16,1.246226971794064e+18,1600.0,64000.0,2560000.0,102400000.0,4096000000.0,163840000000.0,6553600000000.0,262144000000000.0,1.048576e+16,876.1600000000001,25934.336000000003,767656.3456000001,22722627.829760004,672589783.7608961,19908657599.322525,589296264939.9468,17443169442222.426,516317815489783.8,870.25,25672.375,757335.0625,22341384.34375,659070838.140625,19442589725.148438,573556396891.8789,16919913708310.428,499137454395157.6,870.25,25672.375,757335.0625,22341384.34375,659070838.140625,19442589725.148438,573556396891.8789,16919913708310.428,499137454395157.6
4583881.0,9814089221.0,21011965022161.0,4.49866171124467e+16,9.63163472377484e+19,2.062132994360193e+23,4.415026740925173e+26,9.452572252320795e+29,2.0237957192218823e+33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.4100000000001,19902.511000000002,539358.0481000001,14616603.103510004,396109944.10512114,10734579485.248783,290907104050.24207,7883582519761.561,213645086285538.3,401956.0,254840104.0,161568625936.0,102434508843424.0,6.494347860673082e+16,4.117416543666734e+19,2.6104420886847093e+22,1.6550202842261057e+25,1.0492828601993511e+28,1149.2099999999998,38958.21899999999,1320683.6240999997,44771174.85698999,1517742827.6519606,51451481857.40147,1744205234965.9097,59128557465344.336,2004458098075173.0,707.5600000000001,18821.096,500641.1536000001,13317054.685760003,354233654.6412161,9422615213.456348,250641564677.93887,6667065620433.175,177343945503522.47,357.2099999999999,6751.268999999998,127598.98409999996,2411620.799489999,45579633.11036098,861455065.7858225,16281500743.352045,307720364049.35364,5815914880532.783,492.84,10941.047999999999,242891.26559999996,5392186.096319999,119706531.33830397,2657484995.710348,58996166904.76973,1309714905285.888,29075670897346.71,320.40999999999997,5735.338999999999,102662.56809999997,1837659.9689899995,32894113.444920987,588804630.6640856,10539602888.887133,188658891711.07965,3376994161628.3257,163.84000000000003,2097.1520000000005,26843.54560000001,343597.38368000014,4398046.511104002,56294995.34213123,720575940.3792797,9223372036.85478,118059162071.7412,10000.0,1000000.0,100000000.0,10000000000.0,1000000000000.0,100000000000000.0,1e+16,1e+18,1e+20,4096.0,262144.0,16777216.0,1073741824.0,68719476736.0,4398046511104.0,281474976710656.0,1.8014398509481984e+16,1.152921504606847e+18,841.0,24389.0,707281.0,20511149.0,594823321.0,17249876309.0,500246412961.0,14507145975869.0,420707233300201.0,870.25,25672.375,757335.0625,22341384.34375,659070838.140625,19442589725.148438,573556396891.8789,16919913708310.428,499137454395157.6,864.3599999999999,25412.183999999997,747118.2096,21965275.362239998,645779095.6498559,18985905412.105762,558185619115.9094,16410657202007.736,482473321739027.44,864.3599999999999,25412.183999999997,747118.2096,21965275.362239998,645779095.6498559,18985905412.105762,558185619115.9094,16410657202007.736,482473321739027.44
4255969.0,8780064047.0,18113272128961.0,3.736768040204654e+16,7.708952466942203e+19,1.5903568939301765e+23,3.280906272177954e+26,6.76850963950312e+29,1.3963435386294935e+33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.81,17373.979,449986.0561,11654638.85299,301855146.29244095,7818048288.97422,202487450684.43228,5244424972726.796,135830606793624.0,389376.0,242970624.0,151613669376.0,94606929690624.0,5.903472412694938e+16,3.683766785521641e+19,2.298670474165504e+22,1.4343703758792745e+25,8.950471145486673e+27,967.21,30080.231000000003,935495.1841000002,29093900.22551001,904820297.0133613,28139911237.11554,875151239474.2933,27217203547650.523,846455030331931.4,635.04,16003.007999999998,403275.80159999995,10162550.200319998,256096265.04806393,6453625879.211211,162631372156.12253,4098310578334.2876,103277426574024.05,400.0,8000.0,160000.0,3200000.0,64000000.0,1280000000.0,25600000000.0,512000000000.0,10240000000000.0,400.0,8000.0,160000.0,3200000.0,64000000.0,1280000000.0,25600000000.0,512000000000.0,10240000000000.0,313.28999999999996,5545.232999999999,98150.62409999999,1737266.0465699998,30749609.024288993,544268079.7299151,9633545011.219498,170513746698.5851,3018093316564.9565,163.84000000000003,2097.1520000000005,26843.54560000001,343597.38368000014,4398046.511104002,56294995.34213123,720575940.3792797,9223372036.85478,118059162071.7412,7744.0,681472.0,59969536.0,5277319168.0,464404086784.0,40867559636992.0,3596345248055296.0,3.1647838182886605e+17,2.7850097600940212e+19,4303.36,282300.41599999997,18518907.289599996,1214840318.1977596,79693524873.77303,5227895231719.51,342949927200799.8,2.2497515224372464e+16,1.4758369987188334e+18,1089.0,35937.0,1185921.0,39135393.0,1291467969.0,42618442977.0,1406408618241.0,46411484401953.0,1531578985264449.0,870.25,25672.375,757335.0625,22341384.34375,659070838.140625,19442589725.148438,573556396891.8789,16919913708310.428,499137454395157.6,864.3599999999999,25412.183999999997,747118.2096,21965275.362239998,645779095.6498559,18985905412.105762,558185619115.9094,16410657202007.736,482473321739027.44,864.3599999999999,25412.183999999997,747118.2096,21965275.362239998,645779095.6498559,18985905412.105762,558185619115.9094,16410657202007.736,482473321739027.44
2792241.0,4665834711.0,7796609802081.0,1.3028134979277352e+16,2.1770013550372454e+19,3.637769264267237e+22,6.078712440590553e+25,1.0157528488226814e+29,1.6973230103827007e+32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.25,14706.125,360300.0625,8827351.53125,216270112.515625,5298617756.6328125,129816135037.5039,3180495308418.8457,77922135056261.72,454276.0,306182024.0,206366684176.0,139091145134624.0,9.374743182073658e+16,6.3185769047176454e+19,4.258720833779693e+22,2.8703778419675133e+25,1.934634665486104e+28,900.0,27000.0,810000.0,24300000.0,729000000.0,21870000000.0,656100000000.0,19683000000000.0,590490000000000.0,566.44,13481.272,320854.2736,7636331.711680001,181744694.73798403,4325523734.76402,102947464887.38368,2450149664319.732,58313562010809.625,259.21000000000004,4173.281000000001,67189.82410000001,1081756.1680100004,17416274.304961007,280402016.3098722,4514472462.588943,72683006647.68198,1170196407027.68,400.0,8000.0,160000.0,3200000.0,64000000.0,1280000000.0,25600000000.0,512000000000.0,10240000000000.0,268.96,4410.9439999999995,72339.48159999998,1186367.4982399996,19456426.971135993,319085402.32663023,5233000598.156735,85821209809.77045,1407467840880.235,193.21,2685.619,37330.104100000004,518888.4469900001,7212549.413161001,100254436.84293792,1393536672.116837,19370159742.424034,269245220419.6941,8836.0,830584.0,78074896.0,7339040224.0,689869781056.0,64847759419264.0,6095689385410816.0,5.729948022286167e+17,5.386151140948997e+19,4316.490000000001,283593.39300000004,18632085.920100003,1224128044.9505703,80425212553.25247,5283936464748.6875,347154625733988.8,2.2808058910723064e+16,1.4984894704345055e+18,1600.0,64000.0,2560000.0,102400000.0,4096000000.0,163840000000.0,6553600000000.0,262144000000000.0,1.048576e+16,876.1600000000001,25934.336000000003,767656.3456000001,22722627.829760004,672589783.7608961,19908657599.322525,589296264939.9468,17443169442222.426,516317815489783.8,876.1600000000001,25934.336000000003,767656.3456000001,22722627.829760004,672589783.7608961,19908657599.322525,589296264939.9468,17443169442222.426,516317815489783.8,870.25,25672.375,757335.0625,22341384.34375,659070838.140625,19442589725.148438,573556396891.8789,16919913708310.428,499137454395157.6
129600.0,46656000.0,16796160000.0,6046617600000.0,2176782336000000.0,7.8364164096e+17,2.821109907456e+20,1.01559956668416e+23,3.656158440062976e+25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.56000000000006,10077.696000000002,217678.23360000007,4701849.845760002,101559956.66841604,2193695064.0377865,47383813383.216194,1023490369077.4698,22107391972073.35,370881.0,225866529.0,137552716161.0,83769604142049.0,5.101568892250784e+16,3.1068554553807274e+19,1.892074972326863e+22,1.1522736581470597e+25,7.017346578115593e+27,519.84,11852.352,270233.6256,6161326.663680001,140478247.93190402,3202904052.8474116,73026212404.92099,1664997642832.1987,37961946256574.13,408.03999999999996,8242.408,166496.64159999997,3363232.1603199993,67937289.63846399,1372333250.6969726,27721131664.078846,559966859614.3927,11311330564210.732,259.21000000000004,4173.281000000001,67189.82410000001,1081756.1680100004,17416274.304961007,280402016.3098722,4514472462.588943,72683006647.68198,1170196407027.68,400.0,8000.0,160000.0,3200000.0,64000000.0,1280000000.0,25600000000.0,512000000000.0,10240000000000.0,349.69,6539.2029999999995,122283.09609999998,2286693.8970699995,42761175.87520899,799633988.8664081,14953155591.80183,279624009566.6942,5228968978897.182,225.0,3375.0,50625.0,759375.0,11390625.0,170859375.0,2562890625.0,38443359375.0,576650390625.0,10000.0,1000000.0,100000000.0,10000000000.0,1000000000000.0,100000000000000.0,1e+16,1e+18,1e+20,8281.0,753571.0,68574961.0,6240321451.0,567869252041.0,51676101935731.0,4702525276151521.0,4.279298001297884e+17,3.894161181181075e+19,6889.0,571787.0,47458321.0,3939040643.0,326940373369.0,27136050989627.0,2252292232139041.0,1.869402552675404e+17,1.5516041187205855e+19,876.1600000000001,25934.336000000003,767656.3456000001,22722627.829760004,672589783.7608961,19908657599.322525,589296264939.9468,17443169442222.426,516317815489783.8,876.1600000000001,25934.336000000003,767656.3456000001,22722627.829760004,672589783.7608961,19908657599.322525,589296264939.9468,17443169442222.426,516317815489783.8,870.25,25672.375,757335.0625,22341384.34375,659070838.140625,19442589725.148438,573556396891.8789,16919913708310.428,499137454395157.6
2669956.0,4362708104.0,7128665041936.0,1.1648238678523424e+16,1.9033222000707277e+19,3.110028474915569e+22,5.08178652801204e+25,8.303639186771672e+28,1.3568146431184912e+32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.01000000000005,8120.6010000000015,163224.08010000005,3280804.0100100012,65944160.60120103,1325477628.0841408,26642100324.49123,535506216522.27374,10763674952097.703,305809.0,169112377.0,93519144481.0,51716086897993.0,2.859899605459013e+16,1.5815244818188341e+19,8.745830384458152e+21,4.836444202605358e+24,2.674553644040763e+27,445.21000000000004,9393.931,198211.94410000002,4182272.0205100006,88245939.63276102,1861989326.2512577,39287974783.90154,828976267940.3226,17491399253540.809,292.41,5000.211000000001,85503.60810000003,1462111.6985100005,25002110.04452101,427536081.7613093,7310866998.11839,125015825667.82448,2137770618919.7988,163.84000000000003,2097.1520000000005,26843.54560000001,343597.38368000014,4398046.511104002,56294995.34213123,720575940.3792797,9223372036.85478,118059162071.7412,225.0,3375.0,50625.0,759375.0,11390625.0,170859375.0,2562890625.0,38443359375.0,576650390625.0,184.95999999999998,2515.4559999999997,34210.20159999999,465258.7417599999,6327518.887935998,86054256.87592956,1170337893.5126421,15916595351.771933,216465696784.09827,163.84000000000003,2097.1520000000005,26843.54560000001,343597.38368000014,4398046.511104002,56294995.34213123,720575940.3792797,9223372036.85478,118059162071.7412,10000.0,1000000.0,100000000.0,10000000000.0,1000000000000.0,100000000000000.0,1e+16,1e+18,1e+20,6625.960000000001,539353.1440000001,43903345.92160001,3573732358.018241,290901813942.6848,23679407654934.547,1927503783111672.2,1.5689880794529014e+17,1.2771562966746618e+19,4096.0,262144.0,16777216.0,1073741824.0,68719476736.0,4398046511104.0,281474976710656.0,1.8014398509481984e+16,1.152921504606847e+18,882.0899999999999,26198.072999999997,778082.7680999999,23109058.212569997,686339028.9133289,20384269158.72587,605412794014.1583,17980759982220.5,534028571471948.8,882.0899999999999,26198.072999999997,778082.7680999999,23109058.212569997,686339028.9133289,20384269158.72587,605412794014.1583,17980759982220.5,534028571471948.8,876.1600000000001,25934.336000000003,767656.3456000001,22722627.829760004,672589783.7608961,19908657599.322525,589296264939.9468,17443169442222.426,516317815489783.8
6405961.0,16213487291.0,41036336333521.0,1.0386296726014165e+17,2.628771701354185e+20,6.653421176127443e+23,1.6839808996778557e+27,4.262155657084653e+30,1.0787515968081256e+34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.24,10360.232,225853.0576,4923596.65568,107334407.093824,2339890074.6453633,51009603627.26892,1112009359074.4624,24241804027823.28,275625.0,144703125.0,75969140625.0,39883798828125.0,2.0938994384765624e+16,1.0992972052001952e+19,5.771310327301025e+21,3.029937921833038e+24,1.590717408962345e+27,681.21,17779.581000000002,464047.0641000001,12111628.373010002,316113500.5355611,8250562363.978145,215339677699.8296,5620365587965.553,146691541845900.94,412.09000000000003,8365.427000000001,169818.16810000004,3447308.812430001,69980368.89232902,1420601488.5142791,28838210216.839867,585415667401.8494,11883938048257.543,193.21,2685.619,37330.104100000004,518888.4469900001,7212549.413161001,100254436.84293792,1393536672.116837,19370159742.424034,269245220419.6941,259.21000000000004,4173.281000000001,67189.82410000001,1081756.1680100004,17416274.304961007,280402016.3098722,4514472462.588943,72683006647.68198,1170196407027.68,216.08999999999997,3176.5229999999997,46694.8881,686414.8550699999,10090298.369528998,148327386.03207627,2180412574.671521,32052064847.67136,471165353260.769,163.84000000000003,2097.1520000000005,26843.54560000001,343597.38368000014,4398046.511104002,56294995.34213123,720575940.3792797,9223372036.85478,118059162071.7412,8836.0,830584.0,78074896.0,7339040224.0,689869781056.0,64847759419264.0,6095689385410816.0,5.729948022286167e+17,5.386151140948997e+19,5212.84,376367.048,27173700.8656,1961941202.4963202,141652154820.2343,10227285578020.918,738410018733110.2,5.331320335253056e+16,3.849213282052707e+18,2601.0,132651.0,6765201.0,345025251.0,17596287801.0,897410677851.0,45767944570401.0,2334165173090451.0,1.1904242382761301e+17,888.0400000000001,26463.592000000004,788615.0416000001,23500728.239680003,700321701.5424641,20869586705.96543,621913683837.7699,18533027778365.543,552284227795293.2,888.0400000000001,26463.592000000004,788615.0416000001,23500728.239680003,700321701.5424641,20869586705.96543,621913683837.7699,18533027778365.543,552284227795293.2,882.0899999999999,26198.072999999997,778082.7680999999,23109058.212569997,686339028.9133289,20384269158.72587,605412794014.1583,17980759982220.5,534028571471948.8
