Date,Rsum,Lamps,T_inside,CO2,T_Max,T_Avg,T_Min,DP_Max,DP_Avg,DP_Min,H_Max,H_Avg,H_Min,P_Max,P_Avg,P_Min,Produced
7/31/17,2566,0,24.4,573,28.9,22.7,13.9,17.2,14.7,12.8,94,64.3,37,29.7,29.6,29.6,800
8/1/17,2182,0,27,650,33.9,25.4,17.2,21.1,17.3,13.9,94,65,31,29.8,29.7,29.7,716
8/2/17,2390,0,27.6,715,33.9,26.9,18.9,20,18.2,15,100,63.3,34,29.7,29.7,29.6,1125
8/3/17,2239,0,27.1,595,32.2,26.5,20,21.1,18.7,17.2,88,64.5,40,29.6,29.5,29.5,1280
8/4/17,2141,0,27.1,634,33.9,26.6,18.9,22.2,17.9,12.8,100,64,29,29.5,29.4,29.4,1971
8/5/17,2063,0,25.9,624,31.1,25.2,20,20,17.7,12.8,88,65.6,33,29.5,29.4,29.4,3141
8/6/17,1671,0,24.5,674,30,23.8,16.1,20,16.4,13.9,94,65.7,40,29.6,29.6,29.5,2860
8/7/17,360,0,21.6,609,22.8,20.2,16.1,20,18.7,15,100,91,83,29.6,29.6,29.5,2675
8/8/17,1634,0,20.1,553,21.1,17.1,12.8,15,13.6,12.8,100,81.4,64,29.7,29.7,29.6,1325
8/9/17,2531,0,21.8,525,26.1,20.3,13.9,16.1,14.7,12.8,94,72.2,51,29.8,29.8,29.7,1280
8/10/17,2400,0,23.6,527,28.9,22.3,13.9,17.2,14.9,12.8,94,65.7,40,29.8,29.7,29.7,1160
8/11/17,2251,0,25.2,592,31.1,24,15,17.2,15.1,12.2,94,62.2,31,29.7,29.6,29.6,1070
8/12/17,2241,0,25.8,613,32.2,25,16.1,17.8,14.9,11.1,100,59.3,29,29.6,29.5,29.4,1340
8/13/17,2239,0,25.6,606,33.9,25.1,15,16.1,13.3,7.2,94,55.6,20,29.4,29.4,29.4,1180
8/14/17,1364,0,23.5,526,26.1,22.3,17.2,20,17.4,13.9,94,74.7,65,29.6,29.5,29.4,1620
8/15/17,2074,0,23.6,532,27.8,22.6,17.8,18.9,17.1,15,83,71.7,54,29.7,29.7,29.6,1751
8/16/17,2172,0,24.5,542,30,23.9,17.2,18.9,17.4,16.1,100,69.8,43,29.7,29.7,29.6,1620
8/17/17,2189,0,24.1,559,31.1,23.9,15,16.1,14.3,11.1,88,58.2,29,29.7,29.7,29.6,1260
8/18/17,2190,0,23.8,593,32.8,24.1,13.9,15,12.1,7.8,88,52.5,22,29.7,29.7,29.6,1620
8/19/17,2131,0,23.9,642,33.9,24.1,13.9,15,10.1,3.9,94,50.2,16,29.7,29.7,29.6,1720
8/20/17,2223,0,24,602,32.2,24.4,15,12.8,9.8,5,72,43,19,29.7,29.6,29.6,2360
8/21/17,1994,0,23.4,606,32.8,24.6,16.1,17.2,10.3,3.9,88,45.6,16,29.6,29.4,29.4,2100
8/22/17,632,0,19.3,780,18.9,16.3,12.8,17.2,14.6,12.8,100,89.7,73,29.4,29.4,29.3,2000
8/23/17,1503,474,20.6,597,20,14.9,12.2,15,12.3,11.1,100,84,56,29.4,29.3,29.3,1340
8/24/17,1165,474,19.1,663,17.8,13.9,12.2,12.2,10.8,7.2,100,83.7,49,29.6,29.5,29.4,1660
8/25/17,2128,474,21.9,583,25,17.9,11.1,13.9,11.1,7.8,94,67.9,34,29.7,29.6,29.6,920
8/26/17,1784,474,22.9,580,27.2,20.4,12.8,16.1,13.3,11.1,100,66.9,39,29.6,29.6,29.6,1140
8/27/17,1824,474,23.4,596,27.8,20.9,13.9,17.8,15.8,13.9,100,74.9,48,29.6,29.5,29.4,1540
8/28/17,991,474,19.9,603,18.9,16.7,12.2,17.8,13.7,8.9,100,82.4,64,29.5,29.4,29.3,1760
8/29/17,1106,533,20.2,716,15,13.6,12.8,8.9,8.8,7.8,77,72.8,63,29.7,29.6,29.6,1164
8/30/17,663,1068,20.4,721,15,12.9,8.9,8.9,7.7,7.2,87,71.1,59,29.7,29.7,29.7,840
8/31/17,1550,585,20.2,606,18.9,12.8,5,10,7.8,5,100,74.7,49,29.7,29.7,29.6,1265
9/1/17,1647,534,21,641,20,14.6,6.1,12.2,9.6,6.1,100,74.1,49,29.6,29.6,29.4,1591
9/2/17,1141,650,21.5,606,22.2,16.6,12.2,15,13.7,11.1,100,84.2,60,29.5,29.4,29.4,1337
9/3/17,1727,534,22.8,588,26.1,17.7,8.9,15,11.3,8.9,100,71.8,36,29.5,29.4,29.4,1550
9/4/17,1006,789,23,586,25,18.6,12.8,16.1,14.2,12.2,100,77.8,50,29.4,29.4,29.3,1352
9/5/17,927,782,20.6,604,18.9,15.1,12.8,13.9,11.7,10,100,81.7,56,29.4,29.4,29.4,1371
9/6/17,514,914,20.2,692,16.1,13.4,12.2,13.9,11.4,8.9,100,86.9,77,29.4,29.3,29.3,1216
9/7/17,923,824,20.3,710,17.2,13.8,11.1,15,11,7.2,100,84.5,55,29.4,29.4,29.3,1365
9/8/17,1252,844,20.9,633,18.9,14.5,10,11.1,9.4,7.8,94,73.1,52,29.6,29.5,29.4,2060
9/9/17,1856,534,22.4,715,25,16.1,7.2,12.8,9.9,7.2,100,71.8,38,29.6,29.5,29.5,2120
9/10/17,1560,534,23.3,648,27.2,20.1,12.8,13.9,11.9,8.9,94,62.8,34,29.5,29.5,29.4,3440
9/11/17,1736,534,23.8,667,27.8,20.5,12.8,17.2,13.9,11.1,88,67.3,48,29.5,29.5,29.4,4600
9/12/17,1634,534,24.1,608,27.8,21.6,13.9,16.1,13.4,11.1,94,62.9,35,29.4,29.3,29.1,5495
9/13/17,618,952,22,611,20,17.8,12.8,17.2,13.6,10,100,76.7,56,29.4,29.3,29.1,4911
9/14/17,1731,533,23.3,684,27.2,18,7.8,10,8.6,7.2,100,60.2,30,29.4,29.4,29.4,4680
9/15/17,1269,637,21.9,650,22.2,17,10,12.8,10.1,6.1,88,65.1,43,29.6,29.4,29.3,4571
9/16/17,1348,534,22.2,712,22.8,15.1,5,8.9,6.7,3.9,100,61.6,31,29.7,29.7,29.6,4950
9/17/17,1643,533,24.3,678,31.1,22.4,13.9,12.2,9.3,6.1,72,45.3,25,29.6,29.5,29.4,4200
9/18/17,1537,548,23.3,654,23.9,19.8,13.9,12.2,8.5,5,64,49.1,29,29.6,29.4,29.3,4610
9/19/17,1696,533,22.4,644,21.1,14.9,7.2,11.1,6.3,3.9,88,59.1,33,29.7,29.6,29.6,4110
9/20/17,544,884,21.5,692,22.8,15.9,12.2,12.2,10.6,8.9,100,73.3,41,29.6,29.5,29.4,3135
9/21/17,1349,566,23.8,663,30,21.2,13.9,15,10.9,8.9,77,54.3,31,29.4,29.4,29.3,2720
9/22/17,1482,534,24.3,589,30,24.2,18.9,13.9,9.8,5,68,43.3,20,29.5,29.4,29.4,3101
9/23/17,716,889,21.5,651,22.2,16.8,12.2,15,10.1,7.2,88,66.4,41,29.7,29.6,29.5,3745
9/24/17,236,1008,21.4,712,15,13.5,12.2,11.1,8.9,7.2,88,74.7,59,29.9,29.8,29.7,3090
9/25/17,1425,538,21.6,715,22.8,15.8,8.9,7.8,5.6,2.8,82,54.4,27,30,29.9,29.9,3397
9/26/17,1561,534,21.3,759,18.9,13.3,7.8,5,4.1,1.1,81,56.2,30,30.1,30,30,4070
9/27/17,1503,534,21.2,856,16.1,11.2,5,7.2,4.1,1.1,82,63.6,42,30.2,30.1,30.1,5420
9/28/17,1537,534,21.3,930,15,7.7,1.1,2.2,0.2,-2.2,87,62.5,33,30.2,30.2,30.2,4710
